territorio,fecha,factor_1_sube,factor_2_sube,factor_3_sube,factor_1_sube_valor,factor_2_sube_valor,factor_3_sube_valor,factor_1_baja,factor_2_baja,factor_3_baja,factor_1_baja_valor,factor_2_baja_valor,factor_3_baja_valor
La Orotava,2025-12-01,Estacionalidad,Plazas hotel/día,VV reservadas,0.0016666801,0.0007364228,7.388218e-05,Inercia de la presión,Pernoctaciones,Idx ancianidad,-0.11006849,-0.0003787862369790673,-0.0003163103829137981
La Victoria de Acentejo,2025-12-01,Estacionalidad,Plazas hotel/día,Estancia media hotel,0.002989693,0.0006469057,0.0005016089,Inercia de la presión,Pernoctaciones,Estancia media VV,-0.00957761,-0.0005017856601625681,-0.0004270740319043398
Las Palmas de Gran Canaria,2025-12-01,Estacionalidad,Plazas hotel/día,Tasa de reserva,0.0011476161,0.0003455403,0.00027772496,Inercia de la presión,Estancia media hotel,Viajeros entrados,-0.12806648,-0.00037409161450341344,-0.00031302706338465214
Los Llanos de Aridane,2025-12-01,Estacionalidad,Tasa de reserva,Viajeros entrados,0.0017954343,0.00062896556,0.0005781497,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.10972653,-0.0004786666831932962,-0.00031502285855822265
Los Realejos,2025-12-01,Estacionalidad,Plazas hotel/día,Tasa de reserva,0.0017231334,0.0007386971,0.00020303845,Inercia de la presión,Pernoctaciones,Idx ancianidad,-0.10589721,-0.00037086440715938807,-0.00032821501372382045
Los Silos,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.11818153,0.002675499,0.0018322519,Viajeros entrados,Pernoctaciones,Estancia media VV,-0.0008170826,-0.0005388574209064245,-0.00034873312688432634
Mogán,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.5859253,0.003306151,0.0031443366,Idx dep menores 15,VV reservadas,Densidad hab km2,-0.0010049593,-0.0009544348577037454,-0.000823513139039278
Moya,2025-12-01,Estacionalidad,Viajeros entrados,Pernoctaciones,0.0022563438,0.0006039569,0.0005620974,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.08267536,-0.0004057206679135561,-0.00024757138453423977
Puerto de la Cruz,2025-12-01,Inercia de la presión,Estacionalidad,Plazas hotel/día,0.1880958,0.00369875,0.00060068263,Idx dep mayores 64,Viajeros entrados,Ingresos,-0.0019872447,-0.0006971919210627675,-0.000652211660053581
Puerto del Rosario,2025-12-01,Estacionalidad,Estancia media hotel,Pernoctaciones,0.001650099,0.0012210471,0.00088100915,Inercia de la presión,Plazas hotel/día,Estancia media VV,-0.13876604,-0.0004851865814998746,-0.00012566849181894213
