territorio,IPV_actual,TIT_actual,TDT_actual,IPH_actual,alerta,cluster,poblacion,densidad,superficie,envejecimiento,IPV_pred,tendencia,tiene_anomalia,ingresos_nivel,ingresos_tendencia,peso_hotelero,mes_pico,poblacion_tendencia,perfil_jovenes,perfil_mayores,n_noticias,cobertura,tono
Tinajo,-0.7986874452071654,53.8021,7.4754,7023.82,Baja,2.0,6904,50.85,135.779,107.06,-0.7929943983843756,sube,False,altos,creciente,bajo,agosto,estable,bajo,bajo,10,moderada,positivo
Tuineje,-0.54522316616544,293.8454,6.3307,18554.48,Media,2.0,16948,61.34,276.2976,99.22,-0.549446325501347,baja,False,altos,creciente,alto,julio,estable,bajo,bajo,12,moderada,positivo
Tías,3.052602821837872,2816.2798,176.6843,41358.61,Alta,0.0,21671,336.92,64.3205,150.73,3.146872652287985,sube,True,altos,creciente,alto,agosto,estable,bajo,bajo,4,moderada,neutro
Valle Gran Rey,0.0323282022025357,811.8989,38.9953,6063.44,Alta,2.0,4805,149.19,32.2082,318.18,0.005165567258404,baja,False,medios,creciente,alto,diciembre,estable,bajo,alto,17,alta,neutro
Vallehermoso,-0.8410171299704889,79.9236,4.4766,3025.03,Baja,2.0,2949,27.17,108.5424,561.27,-0.841757001569606,baja,False,bajos,creciente,bajo,diciembre,estable,bajo,alto,8,moderada,neutro
Valleseco,-0.4216256834826661,500.7128,15.933,4401.0,Media,2.0,3789,171.22,22.1289,306.96,-0.3604420168286836,sube,False,bajos,creciente,alto,noviembre,estable,bajo,alto,8,moderada,neutro
Valsequillo de Gran Canaria,-0.6113332663014444,197.9215,13.3908,10552.29,Baja,2.0,9919,255.64,38.8013,137.25,-0.5928627230456367,sube,False,bajos,estable,alto,noviembre,estable,bajo,bajo,4,moderada,neutro
Valverde,-0.7813025913023104,97.7499,7.3383,5472.28,Baja,2.0,5305,51.16,103.6846,217.33,-0.7683857648731818,sube,False,medios,estable,alto,agosto,estable,bajo,alto,24,alta,positivo
Vega de San Mateo,-0.5193450942072615,253.6567,20.6098,8550.74,Media,2.0,7904,206.84,38.2139,216.44,-0.4892639795132714,sube,False,medios,creciente,alto,noviembre,estable,bajo,alto,14,moderada,positivo
Vilaflor de Chasna,0.9100940848084084,2476.7944,8.8896,3475.6,Alta,0.0,1932,34.33,56.2711,220.83,1.3520513662468594,sube,True,bajos,creciente,alto,noviembre,estable,bajo,alto,8,moderada,positivo
Villa de Mazo,-0.829267155804019,53.2313,5.8658,5188.59,Baja,2.0,5101,72.18,70.672,207.02,-0.8178757933548035,sube,False,bajos,estable,equilibrado,agosto,estable,bajo,alto,11,moderada,positivo
Yaiza,1.9400839181428005,2773.3414,67.8323,35425.72,Alta,0.0,18698,88.16,212.0938,89.69,2.0927635778601084,sube,True,altos,creciente,alto,agosto,estable,bajo,bajo,18,alta,positivo
