territorio,fecha,IPV_central,IPV_alcista,IPV_pesimista,IPV_inf,IPV_sup
Garafía,2026-09-01,-0.8752167985191756,-0.8661657077551961,-0.8842678892831547,-0.9055399207373723,-0.843673024062376
Garafía,2026-10-01,-0.8709104335849781,-0.8608536660694457,-0.8809672011005106,-0.9055686630665907,-0.8349087928617918
Garafía,2026-11-01,-0.8362813838023777,-0.8252189395352918,-0.8473438280694635,-0.8920532792033307,-0.7816023030780165
Garafía,2026-12-01,-0.8611926165022935,-0.8491244954836545,-0.8732607375209326,-0.9048921886159811,-0.8176691465931504
Granadilla de Abona,2026-01-01,-0.10452503687380438,-0.10293217888969924,-0.10611789485790951,-0.13030874089562733,-0.07812790071388237
Granadilla de Abona,2026-02-01,-0.13369862387732317,-0.1305129079091128,-0.1368843398455334,-0.16746315214040433,-0.10071347287408568
Granadilla de Abona,2026-03-01,-0.11142129472236972,-0.10664272077005427,-0.11619986867468518,-0.15448935719318152,-0.06783420867826065
Granadilla de Abona,2026-04-01,-0.10931180570885052,-0.10294037377242998,-0.115683237645271,-0.15777419759744268,-0.059522845015465876
Granadilla de Abona,2026-05-01,-0.13404448490902998,-0.12608019498850437,-0.14200877482955576,-0.18830308310148836,-0.08100925713808894
Granadilla de Abona,2026-06-01,-0.12505916771199904,-0.11550201980736818,-0.13461631561663,-0.18524179492635565,-0.06649444065242907
Granadilla de Abona,2026-07-01,-0.12797577632375745,-0.11682577043502135,-0.13912578221249344,-0.19107250257930655,-0.06465684105558757
Granadilla de Abona,2026-08-01,-0.1227686535132354,-0.11002578964039433,-0.13551151738607653,-0.1916794642095927,-0.05359953040869423
Granadilla de Abona,2026-09-01,-0.11399728275523058,-0.09966156089828432,-0.12833300461217695,-0.18797953422673527,-0.04219932151548949
Granadilla de Abona,2026-10-01,-0.11289889671676134,-0.09697031687570995,-0.12882747655781285,-0.18790807111959568,-0.033127123283631835
Granadilla de Abona,2026-11-01,-0.10997842293747873,-0.09245698511232214,-0.12749986076263542,-0.19208363862704975,-0.02730761902826227
Granadilla de Abona,2026-12-01,-0.0943832409848156,-0.07526894517555399,-0.11349753679407742,-0.1829401079022935,-0.005015307910206993
Guía de Isora,2026-01-01,-0.253775741983339,-0.24640504126431984,-0.2611464427023583,-0.306946905947641,-0.20080164043626814
Guía de Isora,2026-02-01,-0.2530042964667985,-0.23826289502876008,-0.267745697904837,-0.3279571644716079,-0.1819923600641428
Guía de Isora,2026-03-01,-0.23411239058705588,-0.2120002884299981,-0.2562244927441136,-0.3277253874404276,-0.1378490790867077
Guía de Isora,2026-04-01,-0.2555011274980442,-0.22601832462196728,-0.2849839303741212,-0.3587348660495416,-0.15411090442015396
Guía de Isora,2026-05-01,-0.2789731834559392,-0.242119679860843,-0.3158266870510354,-0.388610135872574,-0.1678269540887225
Guía de Isora,2026-06-01,-0.24997455358065446,-0.20575034926653898,-0.29419875789476985,-0.38403011369004925,-0.11946845529139365
Guía de Isora,2026-07-01,-0.19144134190186726,-0.13984643686873252,-0.24303624693500192,-0.35564189914881705,-0.024151585633224008
Guía de Isora,2026-08-01,-0.18544646454040273,-0.12648085878824872,-0.24441207029255657,-0.3646996269426068,-0.006425494575453297
Guía de Isora,2026-09-01,-0.27520893417987397,-0.2088726277087008,-0.3415452406510472,-0.42445866314385994,-0.12974437931958588
Guía de Isora,2026-10-01,-0.20168890882878523,-0.1279819016385928,-0.27539591601897756,-0.39537125586330024,-0.008483639021311067
Guía de Isora,2026-11-01,-0.21989592907101305,-0.13881822116180143,-0.3009736369802248,-0.413680988340691,-0.03438547256378229
Guía de Isora,2026-12-01,-0.20496749932474415,-0.11651909069651332,-0.29341590795297506,-0.4071834821754086,-0.007428009264408726
Gáldar,2026-01-01,-0.5180197866043783,-0.5170832406094374,-0.5189563325993192,-0.5354218043699024,-0.5002993035915527
Gáldar,2026-02-01,-0.522277080352164,-0.5204039883622823,-0.5241501723420458,-0.546709382197491,-0.4992908384121654
Gáldar,2026-03-01,-0.5178832525239497,-0.5150736145391271,-0.5206928905087724,-0.5479713095615192,-0.4876282717923283
Gáldar,2026-04-01,-0.5224975198328101,-0.5187513358530467,-0.5262437038125736,-0.5561924900182804,-0.48845561728119746
Gáldar,2026-05-01,-0.5322876725379562,-0.527604942563252,-0.5369704025126606,-0.5679364446766609,-0.49662461478745235
Gáldar,2026-06-01,-0.5501843679381614,-0.5445650919685162,-0.5558036439078066,-0.5853458497655222,-0.5143866196907948
Gáldar,2026-07-01,-0.5470088915132256,-0.5404530695486396,-0.5535647134778118,-0.5872844007895555,-0.5056980716850917
Gáldar,2026-08-01,-0.5454037852953328,-0.537911417335806,-0.5528961532548599,-0.5887394565112808,-0.5027703464273992
Gáldar,2026-09-01,-0.5185552079559962,-0.5101262940015283,-0.5269841219104641,-0.5698141416350468,-0.4686187870486651
Gáldar,2026-10-01,-0.5184537567830829,-0.5090882968336743,-0.5278192167324917,-0.5720511899002566,-0.46569050872241396
Gáldar,2026-11-01,-0.49954993017117294,-0.48924792422682345,-0.5098519361155226,-0.5617440684945951,-0.4380643139804686
Gáldar,2026-12-01,-0.5165832027938693,-0.5053446508545788,-0.5278217547331597,-0.575402284893376,-0.4565812375619927
Güímar,2026-01-01,-0.4820459328460037,-0.47930073261297307,-0.48479113307903443,-0.5127745040824935,-0.4520122633393473
Güímar,2026-02-01,-0.460731987047722,-0.4552415865816605,-0.4662223875137834,-0.5055437389422301,-0.41434458493160325
Güímar,2026-03-01,-0.4500656625393128,-0.44183006184022044,-0.458301263238405,-0.5082895152011828,-0.39240008677763105
Güímar,2026-04-01,-0.47075019147112335,-0.45976939053900034,-0.4817309924032463,-0.5331331445529468,-0.406391872667735
Güímar,2026-05-01,-0.47884032263902326,-0.4651143214738695,-0.492566323804177,-0.5459327798961812,-0.4108195224884612
Güímar,2026-06-01,-0.5056603774207095,-0.48918917602252493,-0.522131578818894,-0.572091519767975,-0.4373343453653763
Güímar,2026-07-01,-0.49303320088171837,-0.47381679925050324,-0.5122496025129337,-0.5701913575585322,-0.41473416431406984
Güímar,2026-08-01,-0.4371464995516005,-0.41518489768735456,-0.4591081014158465,-0.5426525878391625,-0.33507084478787164
Güímar,2026-09-01,-0.46558672452874555,-0.44087992243146884,-0.4902935266260223,-0.5618620151721214,-0.36926924991466675
Güímar,2026-10-01,-0.4674741253887121,-0.44002212305840466,-0.49492612771901967,-0.5684178521249961,-0.3653614186601619
Güímar,2026-11-01,-0.4890032828100815,-0.4588060802467433,-0.5192004853734198,-0.5884713938829038,-0.39506083090865873
Güímar,2026-12-01,-0.507026280856844,-0.47408387806047486,-0.5399686836532128,-0.6012514444972102,-0.41297964425184314
Haría,2026-01-01,-0.6163217456079108,-0.6148020201034478,-0.6178414711123739,-0.6410200001678497,-0.5925187477990818
Haría,2026-02-01,-0.6369274501416823,-0.6338879991327561,-0.6399669011506085,-0.6683655287288713,-0.6058068230622499
Haría,2026-03-01,-0.6249578423031981,-0.6203986657898087,-0.6295170188165874,-0.6660662857054004,-0.5836766353305779
Haría,2026-04-01,-0.6290027429725346,-0.6229238409546821,-0.635081644990387,-0.6745686152773188,-0.5852456218561969
Haría,2026-05-01,-0.642557500768284,-0.6349588732459684,-0.6501561282905995,-0.6890999939187132,-0.5955131857864422
Haría,2026-06-01,-0.646325490244065,-0.6372071372172865,-0.6554438432708438,-0.697622187542481,-0.5951455674965589
Haría,2026-07-01,-0.6478648589753375,-0.6372267804440958,-0.6585029375065793,-0.7040352464022809,-0.5904117240847386
Haría,2026-08-01,-0.6403338418710445,-0.6281760378353396,-0.6524916459067495,-0.7017573410521717,-0.5750136776957661
