territorio,procedencia,porcentaje
Gáldar,Irlanda,0.7
Gáldar,Italia,3.0
Gáldar,Noruega,1.0
Gáldar,Países Bajos,2.2
Gáldar,Polonia,1.7
Gáldar,Reino Unido,9.5
Gáldar,Suecia,1.3
Gáldar,Suiza,1.4
Güímar,España,38.2
Güímar,Alemania,15.2
Güímar,Bélgica,3.2
Güímar,Dinamarca,0.4
Güímar,Francia,16.1
Güímar,Irlanda,0.4
Güímar,Italia,1.8
Güímar,Noruega,0.4
Güímar,Países Bajos,2.1
Güímar,Polonia,1.8
Güímar,Reino Unido,18.5
Güímar,Suecia,0.7
Güímar,Suiza,1.2
Haría,España,4.9
Haría,Alemania,25.3
Haría,Bélgica,9.1
Haría,Dinamarca,5.0
Haría,Francia,9.6
Haría,Irlanda,2.1
Haría,Italia,4.3
Haría,Noruega,8.4
Haría,Países Bajos,11.7
Haría,Reino Unido,15.2
Haría,Suiza,4.4
Hermigua,España,39.9
Hermigua,Alemania,28.2
Hermigua,Bélgica,2.2
Hermigua,Dinamarca,4.6
Hermigua,Francia,8.0
Hermigua,Irlanda,0.5
Hermigua,Italia,1.7
Hermigua,Noruega,0.5
Hermigua,Países Bajos,7.2
Hermigua,Polonia,1.7
Hermigua,Reino Unido,3.2
Hermigua,Suecia,0.8
Hermigua,Suiza,1.4
Icod de los Vinos,España,38.2
Icod de los Vinos,Alemania,15.2
Icod de los Vinos,Bélgica,3.2
Icod de los Vinos,Dinamarca,0.4
Icod de los Vinos,Francia,16.1
Icod de los Vinos,Irlanda,0.4
Icod de los Vinos,Italia,1.8
Icod de los Vinos,Noruega,0.4
Icod de los Vinos,Países Bajos,2.1
Icod de los Vinos,Polonia,1.8
Icod de los Vinos,Reino Unido,18.5
Icod de los Vinos,Suecia,0.7
Icod de los Vinos,Suiza,1.2
Ingenio,España,55.1
Ingenio,Alemania,16.0
Ingenio,Bélgica,1.8
Ingenio,Dinamarca,0.7
Ingenio,Francia,5.5
Ingenio,Irlanda,0.7
Ingenio,Italia,3.0
Ingenio,Noruega,1.0
Ingenio,Países Bajos,2.2
Ingenio,Polonia,1.7
Ingenio,Reino Unido,9.5
Ingenio,Suecia,1.3
Ingenio,Suiza,1.4
La Aldea de San Nicolás,España,55.1
La Aldea de San Nicolás,Alemania,16.0
La Aldea de San Nicolás,Bélgica,1.8
La Aldea de San Nicolás,Dinamarca,0.7
La Aldea de San Nicolás,Francia,5.5
La Aldea de San Nicolás,Irlanda,0.7
La Aldea de San Nicolás,Italia,3.0
La Aldea de San Nicolás,Noruega,1.0
La Aldea de San Nicolás,Países Bajos,2.2
La Aldea de San Nicolás,Polonia,1.7
La Aldea de San Nicolás,Reino Unido,9.5
La Aldea de San Nicolás,Suecia,1.3
La Aldea de San Nicolás,Suiza,1.4
La Guancha,España,38.2
La Guancha,Alemania,15.2
La Guancha,Bélgica,3.2
La Guancha,Dinamarca,0.4
La Guancha,Francia,16.1
La Guancha,Irlanda,0.4
La Guancha,Italia,1.8
La Guancha,Noruega,0.4
La Guancha,Países Bajos,2.1
La Guancha,Polonia,1.8
La Guancha,Reino Unido,18.5
La Guancha,Suecia,0.7
La Guancha,Suiza,1.2
La Matanza de Acentejo,España,38.2
La Matanza de Acentejo,Alemania,15.2
La Matanza de Acentejo,Bélgica,3.2
La Matanza de Acentejo,Dinamarca,0.4
La Matanza de Acentejo,Francia,16.1
La Matanza de Acentejo,Irlanda,0.4
La Matanza de Acentejo,Italia,1.8
La Matanza de Acentejo,Noruega,0.4
La Matanza de Acentejo,Países Bajos,2.1
La Matanza de Acentejo,Polonia,1.8
La Matanza de Acentejo,Reino Unido,18.5
La Matanza de Acentejo,Suecia,0.7
La Matanza de Acentejo,Suiza,1.2
La Oliva,España,8.0
La Oliva,Alemania,17.1
La Oliva,Bélgica,0.9
La Oliva,Dinamarca,0.7
La Oliva,Francia,3.5
La Oliva,Irlanda,4.3
La Oliva,Italia,5.1
La Oliva,Noruega,0.2
La Oliva,Países Bajos,5.1
La Oliva,Polonia,3.9
La Oliva,Reino Unido,49.7
La Oliva,Suecia,0.6
La Oliva,Suiza,0.8
La Orotava,España,38.2
La Orotava,Alemania,15.2
La Orotava,Bélgica,3.2
La Orotava,Dinamarca,0.4
La Orotava,Francia,16.1
La Orotava,Irlanda,0.4
La Orotava,Italia,1.8
La Orotava,Noruega,0.4
La Orotava,Países Bajos,2.1
La Orotava,Polonia,1.8
La Orotava,Reino Unido,18.5
La Orotava,Suecia,0.7
La Orotava,Suiza,1.2
La Victoria de Acentejo,España,38.2
La Victoria de Acentejo,Alemania,15.2
La Victoria de Acentejo,Bélgica,3.2
La Victoria de Acentejo,Dinamarca,0.4
La Victoria de Acentejo,Francia,16.1
La Victoria de Acentejo,Irlanda,0.4
La Victoria de Acentejo,Italia,1.8
La Victoria de Acentejo,Noruega,0.4
La Victoria de Acentejo,Países Bajos,2.1
La Victoria de Acentejo,Polonia,1.8
La Victoria de Acentejo,Reino Unido,18.5
La Victoria de Acentejo,Suecia,0.7
La Victoria de Acentejo,Suiza,1.2
Las Palmas de Gran Canaria,España,52.4
Las Palmas de Gran Canaria,Alemania,11.8
Las Palmas de Gran Canaria,Bélgica,0.9
Las Palmas de Gran Canaria,Dinamarca,2.1
Las Palmas de Gran Canaria,Francia,3.0
Las Palmas de Gran Canaria,Irlanda,1.5
Las Palmas de Gran Canaria,Italia,4.0
Las Palmas de Gran Canaria,Noruega,4.3
Las Palmas de Gran Canaria,Países Bajos,2.5
Las Palmas de Gran Canaria,Polonia,1.4
Las Palmas de Gran Canaria,Reino Unido,8.3
Las Palmas de Gran Canaria,Suecia,6.5
Las Palmas de Gran Canaria,Suiza,1.3
Los Llanos de Aridane,España,37.5
Los Llanos de Aridane,Alemania,47.7
Los Llanos de Aridane,Bélgica,1.0
Los Llanos de Aridane,Dinamarca,2.4
Los Llanos de Aridane,Francia,1.0
Los Llanos de Aridane,Irlanda,0.1
Los Llanos de Aridane,Italia,0.5
Los Llanos de Aridane,Noruega,0.1
Los Llanos de Aridane,Países Bajos,3.7
Los Llanos de Aridane,Polonia,2.6
Los Llanos de Aridane,Reino Unido,1.4
Los Llanos de Aridane,Suecia,0.2
Los Llanos de Aridane,Suiza,1.9
Los Realejos,España,38.2
Los Realejos,Alemania,15.2
Los Realejos,Bélgica,3.2
Los Realejos,Dinamarca,0.4
Los Realejos,Francia,16.1
Los Realejos,Irlanda,0.4
Los Realejos,Italia,1.8
Los Realejos,Noruega,0.4
Los Realejos,Países Bajos,2.1
Los Realejos,Polonia,1.8
Los Realejos,Reino Unido,18.5
Los Realejos,Suecia,0.7
Los Realejos,Suiza,1.2
Los Silos,España,38.2
Los Silos,Alemania,15.2
Los Silos,Bélgica,3.2
Los Silos,Dinamarca,0.4
Los Silos,Francia,16.1
Los Silos,Irlanda,0.4
Los Silos,Italia,1.8
Los Silos,Noruega,0.4
Los Silos,Países Bajos,2.1
Los Silos,Polonia,1.8
Los Silos,Reino Unido,18.5
Los Silos,Suecia,0.7
Los Silos,Suiza,1.2
Mogán,España,7.8
Mogán,Alemania,6.5
Mogán,Bélgica,1.5
Mogán,Dinamarca,7.3
Mogán,Francia,1.5
Mogán,Irlanda,5.5
Mogán,Italia,1.3
Mogán,Noruega,18.2
Mogán,Países Bajos,4.0
Mogán,Polonia,1.4
Mogán,Reino Unido,35.1
Mogán,Suecia,9.3
Mogán,Suiza,0.6
Moya,España,55.1
Moya,Alemania,16.0
Moya,Bélgica,1.8
Moya,Dinamarca,0.7
Moya,Francia,5.5
Moya,Irlanda,0.7
Moya,Italia,3.0
Moya,Noruega,1.0
Moya,Países Bajos,2.2
Moya,Polonia,1.7
Moya,Reino Unido,9.5
Moya,Suecia,1.3
Moya,Suiza,1.4
Puerto de la Cruz,España,33.8
Puerto de la Cruz,Alemania,26.5
Puerto de la Cruz,Bélgica,1.2
Puerto de la Cruz,Dinamarca,1.4
Puerto de la Cruz,Francia,7.6
Puerto de la Cruz,Irlanda,1.3
Puerto de la Cruz,Italia,2.1
Puerto de la Cruz,Noruega,1.2
Puerto de la Cruz,Países Bajos,2.5
Puerto de la Cruz,Polonia,4.6
Puerto de la Cruz,Reino Unido,15.5
Puerto de la Cruz,Suecia,1.5
Puerto de la Cruz,Suiza,0.8
Puerto del Rosario,España,56.5
Puerto del Rosario,Alemania,9.1
Puerto del Rosario,Bélgica,1.0
Puerto del Rosario,Dinamarca,1.7
Puerto del Rosario,Francia,3.6
Puerto del Rosario,Irlanda,1.9
Puerto del Rosario,Italia,10.9
Puerto del Rosario,Noruega,1.6
Puerto del Rosario,Países Bajos,2.1
Puerto del Rosario,Polonia,1.3
Puerto del Rosario,Reino Unido,8.0
Puerto del Rosario,Suecia,0.3
Puerto del Rosario,Suiza,2.0
Puntagorda,España,33.1
Puntagorda,Alemania,32.0
Puntagorda,Bélgica,2.8
Puntagorda,Dinamarca,12.9
Puntagorda,Francia,3.0
Puntagorda,Irlanda,0.7
Puntagorda,Italia,1.8
Puntagorda,Noruega,0.6
Puntagorda,Países Bajos,8.0
Puntagorda,Polonia,0.6
Puntagorda,Reino Unido,2.3
Puntagorda,Suecia,0.7
Puntagorda,Suiza,1.6
Puntallana,España,33.1
Puntallana,Alemania,32.0
Puntallana,Bélgica,2.8
Puntallana,Dinamarca,12.9
Puntallana,Francia,3.0
Puntallana,Irlanda,0.7
Puntallana,Italia,1.8
Puntallana,Noruega,0.6
Puntallana,Países Bajos,8.0
Puntallana,Polonia,0.6
Puntallana,Reino Unido,2.3
Puntallana,Suecia,0.7
Puntallana,Suiza,1.6
Pájara,España,9.8
Pájara,Alemania,58.3
Pájara,Bélgica,0.9
Pájara,Dinamarca,0.6
Pájara,Francia,4.2
Pájara,Irlanda,0.6
Pájara,Italia,2.9
Pájara,Noruega,0.1
Pájara,Países Bajos,2.5
Pájara,Polonia,5.9
Pájara,Reino Unido,12.1
Pájara,Suecia,0.4
Pájara,Suiza,1.8
San Andrés y Sauces,España,33.1
San Andrés y Sauces,Alemania,32.0
San Andrés y Sauces,Bélgica,2.8
San Andrés y Sauces,Dinamarca,12.9
San Andrés y Sauces,Francia,3.0
San Andrés y Sauces,Irlanda,0.7
San Andrés y Sauces,Italia,1.8
San Andrés y Sauces,Noruega,0.6
San Andrés y Sauces,Países Bajos,8.0
San Andrés y Sauces,Polonia,0.6
San Andrés y Sauces,Reino Unido,2.3
San Andrés y Sauces,Suecia,0.7
San Andrés y Sauces,Suiza,1.6
San Bartolomé,,
San Bartolomé de Tirajana,España,12.8
San Bartolomé de Tirajana,Alemania,27.3
San Bartolomé de Tirajana,Bélgica,4.0
San Bartolomé de Tirajana,Dinamarca,2.2
San Bartolomé de Tirajana,Francia,3.3
San Bartolomé de Tirajana,Irlanda,1.6
San Bartolomé de Tirajana,Italia,2.6
San Bartolomé de Tirajana,Noruega,3.1
San Bartolomé de Tirajana,Países Bajos,10.9
San Bartolomé de Tirajana,Polonia,3.0
San Bartolomé de Tirajana,Reino Unido,20.8
San Bartolomé de Tirajana,Suecia,6.0
San Bartolomé de Tirajana,Suiza,2.4
San Cristóbal de La Laguna,España,52.5
San Cristóbal de La Laguna,Alemania,17.6
San Cristóbal de La Laguna,Bélgica,1.9
San Cristóbal de La Laguna,Dinamarca,0.5
San Cristóbal de La Laguna,Francia,7.0
San Cristóbal de La Laguna,Irlanda,0.9
San Cristóbal de La Laguna,Italia,3.9
San Cristóbal de La Laguna,Noruega,0.4
San Cristóbal de La Laguna,Países Bajos,2.4
San Cristóbal de La Laguna,Polonia,0.7
San Cristóbal de La Laguna,Reino Unido,8.0
San Cristóbal de La Laguna,Suecia,0.8
San Cristóbal de La Laguna,Suiza,3.4
San Juan de la Rambla,España,38.2
San Juan de la Rambla,Alemania,15.2
San Juan de la Rambla,Bélgica,3.2
San Juan de la Rambla,Dinamarca,0.4
San Juan de la Rambla,Francia,16.1
San Juan de la Rambla,Irlanda,0.4
San Juan de la Rambla,Italia,1.8
San Juan de la Rambla,Noruega,0.4
San Juan de la Rambla,Países Bajos,2.1
San Juan de la Rambla,Polonia,1.8
San Juan de la Rambla,Reino Unido,18.5
San Juan de la Rambla,Suecia,0.7
San Juan de la Rambla,Suiza,1.2
San Miguel de Abona,España,15.9
San Miguel de Abona,Alemania,4.7
San Miguel de Abona,Bélgica,2.5
San Miguel de Abona,Dinamarca,0.8
San Miguel de Abona,Francia,7.0
San Miguel de Abona,Irlanda,5.0
San Miguel de Abona,Italia,2.8
San Miguel de Abona,Noruega,1.1
San Miguel de Abona,Países Bajos,3.1
San Miguel de Abona,Polonia,1.1
San Miguel de Abona,Reino Unido,54.5
San Miguel de Abona,Suecia,0.7
San Miguel de Abona,Suiza,0.8
San Sebastián de La Gomera,España,33.6
San Sebastián de La Gomera,Alemania,36.8
San Sebastián de La Gomera,Bélgica,3.2
San Sebastián de La Gomera,Dinamarca,3.3
San Sebastián de La Gomera,Francia,1.8
San Sebastián de La Gomera,Irlanda,1.1
San Sebastián de La Gomera,Italia,0.8
San Sebastián de La Gomera,Noruega,1.4
San Sebastián de La Gomera,Países Bajos,1.3
San Sebastián de La Gomera,Polonia,0.6
San Sebastián de La Gomera,Reino Unido,10.8
San Sebastián de La Gomera,Suecia,2.6
San Sebastián de La Gomera,Suiza,2.6
Santa Brígida,España,55.1
Santa Brígida,Alemania,16.0
Santa Brígida,Bélgica,1.8
Santa Brígida,Dinamarca,0.7
Santa Brígida,Francia,5.5
Santa Brígida,Irlanda,0.7
Santa Brígida,Italia,3.0
Santa Brígida,Noruega,1.0
Santa Brígida,Países Bajos,2.2
Santa Brígida,Polonia,1.7
Santa Brígida,Reino Unido,9.5
Santa Brígida,Suecia,1.3
Santa Brígida,Suiza,1.4
Santa Cruz de La Palma,España,55.4
Santa Cruz de La Palma,Alemania,22.3
Santa Cruz de La Palma,Bélgica,1.5
Santa Cruz de La Palma,Dinamarca,5.5
Santa Cruz de La Palma,Francia,4.0
Santa Cruz de La Palma,Irlanda,1.0
Santa Cruz de La Palma,Italia,2.5
Santa Cruz de La Palma,Noruega,0.2
Santa Cruz de La Palma,Países Bajos,1.6
Santa Cruz de La Palma,Polonia,1.0
Santa Cruz de La Palma,Reino Unido,3.1
Santa Cruz de La Palma,Suecia,0.5
Santa Cruz de La Palma,Suiza,1.4
Santa Cruz de Tenerife,España,64.9
Santa Cruz de Tenerife,Alemania,8.5
Santa Cruz de Tenerife,Bélgica,1.3
Santa Cruz de Tenerife,Dinamarca,0.7
Santa Cruz de Tenerife,Francia,5.4
Santa Cruz de Tenerife,Irlanda,1.0
Santa Cruz de Tenerife,Italia,5.0
Santa Cruz de Tenerife,Noruega,0.8
Santa Cruz de Tenerife,Países Bajos,1.6
Santa Cruz de Tenerife,Polonia,1.6
Santa Cruz de Tenerife,Reino Unido,6.7
Santa Cruz de Tenerife,Suecia,1.0
Santa Cruz de Tenerife,Suiza,1.4
Santa Lucía de Tirajana,España,55.1
Santa Lucía de Tirajana,Alemania,16.0
Santa Lucía de Tirajana,Bélgica,1.8
Santa Lucía de Tirajana,Dinamarca,0.7
Santa Lucía de Tirajana,Francia,5.5
Santa Lucía de Tirajana,Irlanda,0.7
Santa Lucía de Tirajana,Italia,3.0
Santa Lucía de Tirajana,Noruega,1.0
Santa Lucía de Tirajana,Países Bajos,2.2
Santa Lucía de Tirajana,Polonia,1.7
Santa Lucía de Tirajana,Reino Unido,9.5
Santa Lucía de Tirajana,Suecia,1.3
Santa Lucía de Tirajana,Suiza,1.4
Santa María de Guía de Gran Canaria,España,55.1
Santa María de Guía de Gran Canaria,Alemania,16.0
